"#","g#","Cover","Album","Streams","Daily"
"","303","","Nectar Joji","2,758,170,660","1,309,253"
"","304","","Viva La Vida Or Death And All His Friends Coldplay","2,758,139,120","2,183,641"
"","305","","The Lockdown Sessions Elton John","2,758,098,697","1,748,849"
"","306","","I Am > I Was 21 Savage","2,756,346,823","1,941,622"
"","307","","Ghost Stories Coldplay","2,750,805,345","1,317,569"
"","308","","We Sing. We Dance. We Steal Things. Jason Mraz","2,750,047,825","1,353,118"
"","309","","Chaos And The Calm James Bay","2,746,836,617","753,178"
"","310","","Halcyon / Halcyon Days Ellie Goulding","2,744,526,437","1,139,802"
"","312","","Stadium Arcadium Red Hot Chili Peppers","2,738,639,716","1,139,517"
"","313","","Final (Vol.1) Enrique Iglesias","2,731,682,048","627,109"
"","314","","Aura Ozuna","2,730,186,740","592,966"
"","315","","The Neighbourhood / Hard To Imagine The Neighbourhood Ever Changing The Neighbourhood","2,726,217,263","3,320,396"
"","316","","Pray For The Wicked Panic! At The Disco","2,718,772,788","851,140"
"","317","","Map Of The Soul: Persona BTS","2,717,736,273","794,838"
"","318","","Blame It On Baby DaBaby","2,715,921,231","418,276"
"","319","","Glory Days Little Mix","2,712,371,636","656,355"
"","320","","Ready To Die The Notorious B.I.G.","2,710,020,316","1,279,042"
"","321","","Grateful DJ Khaled","2,708,800,527","888,470"
"","322","","Expectations Bebe Rexha","2,707,127,843","606,011"
"","323","","All The Little Lights Passenger","2,702,264,033","1,107,488"
"","324","","Trolls Various Artists","2,700,939,159","1,050,922"
"","325","","The Lumineers The Lumineers","2,699,334,258","1,359,412"
"","326","","The E.N.D. (The Energy Never Dies) Black Eyed Peas","2,694,917,055","1,820,681"
"","327","","Up All Night One Direction","2,692,875,559","1,580,808"
"","328","","19 Adele","2,690,092,830","1,205,980"
"","329","","Legendary Tyga","2,686,272,548","567,041"
"","330","","Lukas Graham (Blue Album) Lukas Graham","2,685,003,211","946,058"
"","331","","Bangerz Miley Cyrus","2,683,990,462","1,277,343"
"","332","","Mind Of Mine Zayn","2,682,722,258","671,864"
"","333","","Whole Lotta Red Playboi Carti","2,673,639,983","3,128,100"
"","334","","Colores J Balvin","2,670,472,189","665,700"
"","335","","Hopeless Fountain Kingdom Halsey","2,659,337,648","722,177"
"","336","","Love In The Future John Legend","2,657,141,605","1,113,353"
"","337","","DNCE DNCE","2,655,649,640","914,565"
"","338","","Torches X Foster The People","2,651,838,420","1,268,183"
"","339","","Afrodisíaco Rauw Alejandro","2,647,652,922","1,388,649"
"","340","","Wiped Out! The Neighbourhood","2,642,422,388","1,858,375"
"","341","","Fighting Demons Juice WRLD","2,641,124,818","1,176,822"
"","342","","High Expectations Mabel","2,633,900,591","585,975"
"","343","","Barbie The Album Various Artists","2,629,864,009","5,374,653"
"","344","","Revenge Of The Dreamers III J. Cole & Various Artists","2,627,874,730","1,143,329"
"","345","","Safe Haven Ruth B.","2,612,389,953","1,780,294"
"","346","","Future Future","2,611,067,205","768,261"
"","347","","Endless Summer Vacation Miley Cyrus","2,606,078,502","3,671,908"
"","348","","El Dorado 24kGoldn","2,604,053,786","730,073"
"","349","","Demon Days Gorillaz","2,600,751,881","1,577,988"
"","350","","Motomami Rosalía","2,600,376,987","1,428,305"
"","351","","Bad Michael Jackson","2,598,698,596","1,276,017"
"","352","","Fifty Shades Darker Various Artists","2,598,212,817","1,267,911"
"","353","","Badlands Halsey","2,598,077,120","639,072"
"","354","","Merry Christmas Mariah Carey","2,596,688,284","102,426"
"","355","","Playboi Carti Playboi Carti","2,595,908,429","1,645,365"
"","356","","Wild Ones Flo Rida","2,595,777,383","1,355,191"
"","357","","Drip Harder Lil Baby","2,594,164,634","1,196,645"
"","358","","The Time Of Our Lives Miley Cyrus","2,592,351,720","1,628,123"
"","359","","Exodus Bob Marley & The Wailers","2,581,891,834","2,699,092"
"","360","","Papi Juancho Maluma","2,579,477,313","738,080"
"","361","","Stargazing Kygo","2,562,945,919","546,945"
"","362","","An Evening With Silk Sonic Bruno Mars & Anderson .Paak.","2,562,681,337","1,486,136"
"","363","","When It's Dark Out G-Eazy","2,559,872,621","427,804"
"","364","","Haiz Hailee Steinfeld","2,554,656,193","457,083"
"","365","","ADN Manuel Turizo","2,550,775,612","707,779"
"","366","","Melodrama Lorde","2,547,947,469","1,151,964"
"","367","","Prayer Robin Schulz","2,545,279,473","936,351"
"","368","","In Between Dreams Jack Johnson","2,545,156,235","1,136,698"
"","369","","Fetty Wap Fetty Wap","2,542,503,772","744,114"
"","370","","4 Beyoncé","2,539,034,771","811,159"
"","371","","American Beauty/American Psycho Fall Out Boy","2,537,042,635","1,081,215"
"","372","","Chromatica Lady Gaga","2,532,548,069","777,044"
"","373","","""Awaken, My Love!"" Childish Gambino","2,531,401,695","1,254,256"
"","374","","Happiness Begins Jonas Brothers","2,529,251,129","768,256"
"","375","","Come Over When You're Sober, Pt. 2 Lil Peep","2,528,002,301","1,081,525"
"","376","","Mala Santa Becky G","2,526,903,665","598,629"
"","377","","Hall Of Fame Polo G","2,521,443,997","1,019,371"
"","378","","Bad Blood Bastille","2,514,269,312","1,091,603"
"","379","","Enoc Ozuna","2,512,841,390","736,729"
"","380","","Easy Money Baby Myke Towers","2,508,857,819","1,762,583"
"","381","","Snacks (Supersize) Jax Jones","2,507,313,656","427,510"
"","382","","Born This Way Lady Gaga","2,505,872,944","1,979,325"
"","383","","Without Warning 21 Savage, Offset & Metro Boomin","2,501,016,539","1,182,987"
"","384","","True 2 Myself Lil Tjay","2,499,477,089","1,091,247"
"","385","","Loose Nelly Furtado","2,497,035,892","2,206,785"
"","386","","Savage Mode II 21 Savage & Metro Boomin","2,493,896,777","2,880,018"
"","387","","The Truth About Love P!nk","2,490,825,129","1,511,714"
"","388","","American Idiot Green Day","2,489,351,368","1,248,683"
"","389","","Rodeo Travis Scott","2,486,318,687","2,564,455"
"","390","","The Fate Of The Furious: The Album Various Artists","2,484,655,612","564,806"
"","391","","Tickets To My Downfall Machine Gun Kelly","2,480,461,967","852,986"
"","392","","Tattoos Jason Derulo","2,470,483,047","700,909"
"","393","","More Than You Know Axwell /\ Ingrosso","2,468,789,072","731,818"
"","394","","Golden Hour Kygo","2,464,711,150","676,219"
"","395","","Fifty Shades Freed Various Artists","2,460,054,355","976,542"
"","396","","Por Primera Vez Camilo","2,459,687,994","743,269"
"","397","","So Much Fun Young Thug","2,456,771,939","790,686"
"","398","","My House Flo Rida","2,456,651,392","587,463"
"","399","","Jazz Queen","2,456,483,635","1,284,601"
"","400","","SremmLife Rae Sremmurd","2,452,397,259","738,625"
"","401","","At. Long. Last. ASAP ASAP Rocky","2,452,310,234","1,101,806"
"","402","","Born Sinner J. Cole","2,439,076,167","1,254,722"
"","403","","Enema Of The State Blink-182","2,431,234,276","1,562,145"
"","404","","Donde Quiero Estar Quevedo","2,423,946,077","2,273,532"
"","405","","7/27 Fifth Harmony","2,423,878,515","788,941"
"","406","","Vessel Twenty One Pilots","2,422,130,880","935,203"
"","407","","By The Way Red Hot Chili Peppers","2,421,712,472","1,388,975"
"","408","","Twelve Carat Toothache Post Malone","2,420,447,796","1,466,938"
"","409","","Guts Olivia Rodrigo","2,419,497,123","8,337,491"
"","410","","To Pimp A Butterfly Kendrick Lamar","2,408,849,837","1,343,972"
"","411","","There's Really A Wolf Russ","2,406,421,718","681,876"
"","412","","Believe Justin Bieber","2,405,816,353","1,918,135"
"","413","","Born Pink Blackpink","2,402,923,059","1,778,950"
"","414","","Mylo Xyloto Coldplay","2,400,725,482","1,066,876"
"","415","","Globalization Pitbull","2,397,054,504","1,456,402"
"","416","","Global Warming Pitbull","2,393,040,631","1,523,258"
"","417","","House Of Balloons The Weeknd","2,385,983,581","2,500,842"
"","418","","Love Yourself: Her BTS","2,381,013,416","796,389"
"","419","","8 Mile Eminem & Various Artists","2,373,423,355","1,345,063"
"","420","","Human OneRepublic","2,368,237,707","933,716"
"","421","","Mr. Morale & The Big Steppers Kendrick Lamar","2,363,404,020","1,924,963"
"","422","","You James Arthur","2,351,389,264","1,500,053"
"","423","","Pink Friday: Roman Reloaded Nicki Minaj","2,346,445,175","1,320,927"
"","424","","Minutes To Midnight Linkin Park","2,343,624,884","1,805,773"
"","425","","Long. Live. ASAP ASAP Rocky","2,342,624,350","1,147,896"
"","426","","Life After Death The Notorious B.I.G.","2,340,715,853","1,107,568"
"","427","","Heaven Or Hell Don Toliver","2,340,060,598","1,436,341"
"","428","","Over It Summer Walker","2,333,537,204","1,695,912"
